data,musica,filme,bandejao,dob,festas,cr,time,peso,altura,avg_creditos_semestre,lazer_semanal,estagio,trabalho
29/08/2024 08:44:48,Funk,Terror,RU,10/03/2004,Quase nunca,"5,3",Santos,96,"1,8",24,28,Não,Não
29/08/2024 08:45:06,MPB,Suspense,RU,12/03/2006,Opção 6,,Outros,59kg,"1,57m",30,,Não,Não
29/08/2024 08:45:12,Eletronica,Ação,"Bandejao, eu? afff",27/01/2005,Quase nunca,"0,78",Sao Paulo,86,"1,81",28,2h00,Não,Não
29/08/2024 08:45:14,Rock,Ação,RU,27/03/2006,2x por mes,668,Sao Paulo,65.0kg,1.71,30,6,Não,Não
29/08/2024 08:45:50,Jazz,Suspense,RU,30/05/2004,2x por mes,,Corinthians,100,190,26,20,Não,Não
29/08/2024 08:45:53,Samba,Animação,RS,01/03/2002,Quase nunca,,Sao Paulo,66 kg,"1,63",28,,Não,Não
29/08/2024 08:46:27,Forró,Ficção científica,RU,11/06/2005,1x por mes,0.76,Flamengo,63.00 kg,1.64 m,28,12,Não,Não
29/08/2024 08:46:34,Pop,Romance,RS,07/05/2003,Quase nunca,"0,8108",Sao Paulo,88,"1,65",28,8,Não,Não
29/08/2024 08:46:54,MPB,Suspense,RA,19/05/2006,1x por mes,"0,7085",Outros,49,"1,58",26,44,Não,Não
29/08/2024 08:46:58,Sertanejo,Drama,"Bandejao, eu? afff",09/12/2004,Quase nunca,"0,5779",Corinthians,54,"1,6",20,2,Não,Não
29/08/2024 08:47:05,Samba,Comedia,RU,12/05/2006,Quase nunca,"0,74",Sao Paulo,72,"1,85",29,4,Não,Não
29/08/2024 08:47:09,Pop,Comédia Romântica,RA,02/12/2005,Quase nunca,"0,7385",Outros,46,"1,61",26,44,Não,Não
29/08/2024 08:47:17,Pop,Suspense,RS,13/02/2003,Quase nunca,"O,7262",Flamengo,63,"1,6",26,5hrs,Não,Não
29/08/2024 08:47:31,Outros,Ficção científica,"Bandejao, eu? afff",29/08/2005,Quase nunca,"0,6929",Corinthians,85 kg,185 cm,28 creditos,14 horas,Não,Não
